N°DPE;Etiquette_DPE;Année_construction;N°_voie_(BAN);Code_postal_(BAN);Nom__rue_(BAN);Nom__commune_(Brut);Conso_5_usages_é_finale
2171E0634833K;C;2001;51;71230;Avenue Maurice Thorez;SAINT-VALLIER;15391,5
2291E2072698S;E;1978;9;91210;Rue Montaigne;DRAVEIL;15731,3
2378E3504423P;D;1948;23;78000;Rue Champ Lagarde;Versailles;14786,7
2139E0662068R;E;1947;580;39000;Route de Macornay;LONS-LE-SAUNIER;31769
2205E1525917J;E;1995;6;05100;Rue du 4ème Rtm;BRIANCON;9714,1
2336E2016552E;D;1962;;;;ARGENTON-SUR-CREUSE;9535,4
2128E0988053D;D;1972;12;28110;Rue du Paradis;Lucé;14116,1
2267E0869045L;G;1945;2;67100;Rue d'Ensisheim;STRASBOURG;16816,9
2391E2833750Z;D;1983;9;91090;Allée Alienor d'Aquitaine;LISSES;13443,4
2142E0958455H;C;1950;;42320;Rue du Dorlay;La Grand-Croix;7083,5
2237E1445991N;G;1945;71;37110;Rue Voltaire;CHATEAU RENAULT;15950,6
2359E1434781G;E;1978;3;59000;Rue de Trévise;LILLE;13954,9
2162E0619182C;E;1948;19;62770;Impasse Andersen;AUCHY LES HESDIN;24658
2291E1659008O;C;1985;12;91330;Rue Pierre de Coubertin;YERRES;3759,9
2375E3091067E;C;1945;131;75010;Rue du Faubourg du Temple;PARIS;3371,4
2139E0483938N;B;1994;;39200;32  RUE DU PONT CENTRAL;ST CLAUDE;3740,4
2287E2463709L;C;1945;46;87230;Rue Salardine;CHALUS;3850,4
2362E1097660E;F;1945;;;;GRENAY;25703,1
2132E0621833X;C;1948;6;32000;Rue de Meilhan;AUCH;6501,8
2244E1166676X;D;1945;31;44116;Route de l’Hommetière;VIEILLEVIGNE;4864,2
2376E2028293H;C;1981;46;76400;Rue Robert Dugle;FECAMP;7534,5
2139E0562460P;E;1983;10;39500;Impasse des Alouettes;TAVAUX;18113,2
2292E0400564X;D;1945;;92000;Rue du Tir;NANTERRE;7821,9
2335E2047986D;C;1989;;;;VITRE;9262,4
2164E0581721J;C;1978;3;64121;Rue des Ecoles;SERRES CASTET;10941,5
2262E0439276R;C;1978;;62680;RUE LOUIS LE SENECHAL;MERICOURT;3709,1
2313E0611527W;C;1948;;13013;Avenue des balustres;Marseille 13e Arrondissement;6742,9
2173E0776431O;G;1967;6;73110;Route des Monts;LA ROCHETTE;43700,3
2250E0380833K;E;1979;69;50110;Residence Brecourt;old Equeurdreville-Hainneville;8621,7
2351E2550092N;B;1975;6;51100;rue Kerguelen;REIMS;5391,1
2138E0840014S;E;1947;;38690;;LE GRAND LEMPS;17155,9
2250E2298113Y;D;1997;2;50200;Residence du Vieux Fournil;Gouville-sur-Mer;6311,2
2362E3769955T;D;1948;52;62480;Rue Saint Michel;LE PORTEL;21641,2
2138E0748182S;D;1947;2;38000;Place Jean Achard;GRENOBLE;20264,3
2293E1390909D;G;1945;4;93370;Rue de la Halle;Montfermeil;7279,2
2377E0178842P;E;1948;8;77181;Rue des Goncourt;Courtry;17341,5
2113E0087592L;E;1996;;13100;2 AVENUE GEORGES BRASSENS -BATA02 RESIDENCE LE SENEQUE;AIX EN PROVENCE;17732,2
2213E1667979P;D;1985;;13530;Lotissement Saint Jean;TRETS;7547,8
2336E0811874K;E;1973;3;36000;Rue Copernic;CHATEAUROUX;13521,1
2140E0591157J;E;1948;386;40000;Av du Capitaine Roger Bonnemaire;MONT DE MARSAN;19741,2
2206E2341780T;C;1983;2686;47300;Route Nationale 21;VILLENEUVE-LOUBET;1717,1
2344E0855337J;G;1945;32;44640;Rue du Château;Le Pellerin;14109,7
2131E0658286X;E;1975;5;31770;Rue de Provence;COLOMIERS;16616,8
2283E0128207H;C;1995;2;83400;Rue Émile et Paul Verdino;HYERES;5582,8
2378E2267185N;D;1948;5;78140;Rue Henri Farman;VELIZY-VILLACOUBLAY;6278,4
2178E0761664U;D;1948;6;78210;Rue Pierre Courtade;ST CYR L ECOLE, France;16495,4
2295E1113707P;D;1961;10 et 12;95120;Mail Renaissance;Ermont;5648,4
2380E3699948W;D;1983;14;80090;Rue du 08-mai-45;Amiens;12088,9
2172E0670662M;D;1947;;72110;;TORCE EN VALLEE, France;10481,4
2205E2035567H;D;2006;36;05000;Avenue Commandant Dumont;GAP;6362
2316E1192526C;E;1948;;16200;Place de Saintes;Jarnac;19296,8
2180E0759920U;G;1948;20;80170;Rue dâ€™Hallu;CHILLY;32893,6
2237E1544246O;F;1945;;37110;Rue de la République;CHATEAU RENAULT;8427,4
2375E3006336H;C;1989;49;75012;Rue Gabriel Lamé;PARIS;11026,2
2116E0688909D;C;1947;122;16000;Rue Saint Ausonne;ANGOULEME;3451,3
2278E2300336N;F;1985;6;78120;Rue Chasles;Rambouillet;6342,8
2308E3908249R;D;1945;25;08800;Route de Prum;MONTHERME;19431,5
2156E0726313H;D;1971;21;56100;Rue François le Levé;LORIENT;16204,8
2291E3119468C;D;1989;42;91130;Rue André Breton;RIS-ORANGIS;4752,2
2368E3704802C;C;1967;24;68200;Rue de Bordeaux;MULHOUSE;5298,8
2175E0674489U;F;1947;5;75019;Rue Carolus Duran;PARIS;18794,1
2244E0813792L;D;1995;13;44100;Rue du Coteau;NANTES;4167,1
2391E2449689K;D;2006;21;91600;Avenue Jean Marsaudon;SAVIGNY-SUR-ORGE;10831,9
2171E0665711A;C;1947;22;71200;Rue Saint Eugène;LE CREUSOT;8344,1
2213E1939764W;C;2006;9;13410;Avenue du General de Gaulle;LAMBESC;4255,4
2328E3330514W;D;1980;17;28170;Rue des Tilleuls;Châteauneuf-en-Thymerais;8062,3
2181E0912023Y;B;2011;34;81150;Rue du Clos de la Muscadelle;LAGRAVE;4771,6
2244E2426877E;E;1984;1;44590;Place du Boschet;Derval;9796,7
2376E1349749L;D;1967;28;76600;Rue de Rivoli;LE HAVRE;6150,1
2174E0719360O;F;1983;14;74000;Rue du Forum;ANNECY;8977,1
2213E2013368U;C;1983;;13260;Avenue de la Marne;CASSIS;5006,6
2393E1522867M;D;1948;6;93270;Allée Bougainville;SEVRAN;9300,4
2128E0558094G;F;1948;11;28160;Rue Emile Baudin;BROU, France;21756,5
2250E0273545Y;E;1984;21;50100;Rue Docteur Carre;old Cherbourg-Octeville;8939,9
2344E3492270W;C;2017;4;44800;Rue du Seize Septembre;Saint-Herblain;4900,3
2175E0830258X;D;1947;52;75009;Rue Catherine de la Rochefoucauld;PARIS;8739
2260E0151605I;D;2000;1;60210;Rue Chantereine;Grandvilliers;6589,2
2391E2680883M;D;1948;9;91290;Cite Hoche;ARPAJON;8313,5
2128E0921098Y;E;1977;23 et 25;28110;rue de Bruxelles;Lucé;18099,4
2275E3020243D;G;1945;52;75010;Rue des Vinaigriers;PARIS;12278,9
2324E1860492K;F;1948;;24100;Rue Georges Martin;BERGERAC;48504,6
2131E0575904J;D;1948;8;31200;Rue Claire Cazelles;TOULOUSE;9897,1
2277E1988101L;F;1945;3bis;77000;Rue du Franc Murier;MELUN;14031,8
2378E0890186A;C;1975;119;78300;Rue Saint Sébastien;POISSY;7024,8
2173E0596355O;C;1948;25;73000;Rue de Buisson Rond;BARBERAZ;2739,4
2292E1611818P;D;1993;42;92120;Rue Victor Basch;Montrouge;3826,5
2373E1365229S;D;1932;;73400;Rue Léon Jouhaux;Ugine;43367,7
2191E0775248T;G;1947;5ter;91150;Rue des Aveugles;ÉTAMPES;19438,5
2275E1192585P;E;1945;83;75007;Rue Saint-Dominique;Paris;6470,9
2391E3506898H;C;1948;38;91000;Allée Jean Rostand;EVRY COURCOURONNES;5094,8
2113E0660510T;D;1948;7;13010;Rue du Docteur Girbal;MARSEILLE 10;9969,7
2250E1348673A;E;1982;25;50110;Rue Cesar Lecres;Cherbourg-en-Cotentin;14973,7
2333E1017210V;F;1989;23;33000;Rue du 11 Novembre;Bordeaux;8467,3
2130E0811347V;D;1989;1;30000;Rue de la Porte Canciere;NIMES;6946,2
2249E1368274W;B;1985;16;49730;Rue du Moulin de la Tranchée;Montsoreau;3045
2369E2053399Q;D;1945;;;;LYON;17238,6
2143E0840958F;C;1947;1;43100;Rue du Calvaire;COHADE;21978,7
2244E0629834D;D;1968;1;44800;Rue de Cahors;Saint-Herblain;11435,9
2333E3468355Q;C;2011;119;33470;Cours de la République;GUJAN-MESTRAS;5001,4
2191E0721204D;D;1974;20;91800;Avenue du Marechal Davout;BRUNOY;7676,1
2244E2004579Y;D;2009;9;44380;Allée des Marronniers;PORNICHET;3191,7
2373E0893423I;E;1964;11;73200;Rue val d'isère;Albertville;10301,5
2138E0733809X;D;1948;24;38700;Boulevard de la Chantourne;LA TRONCHE, France;7838,7
2213E1479267L;A;1985;;13008;Avenue du Prado;Marseille;1663,3
2391E3610122L;D;1978;1;91080;Square de la Borne;COURCOURONNES;15066
2169E0742563U;E;1947;16;69004;Rue Pernon;Lyon;22651,3
2238E1859408F;D;1975;184;38730;Rue de la Bourbre;Val-de-Virieu;6143
2335E3379776V;C;1989;7;35136;Rue André Malraux;SAINT-JACQUES-DE-LA-LANDE;9137,5
2138E0666079X;C;2011;14t;38160;Rue des Tulipes;SAINT-SAUVEUR;15357,7
2214E1788149O;D;1976;;14160;Résidence Les Courlis;Dives-sur-Mer;7757,1
2363E0955151C;C;2015;3;63122;rue de la Boulaie;CEYRAT;6943,7
2195E0666064N;F;1947;18;95880;Avenue de Ceinture;ENGHIEN-LES-BAINS;25913,6
2276E2603070B;D;1989;8;76000;Rue Grand Pont;ROUEN;5074
2395E1400219I;D;1948;4;95100;Place Saint Just;ARGENTEUIL;14297
2159E0611277Y;C;2013;;59260;;HELLEMMES;6647
2251E2138528C;D;1996;15;51430;Rue de la Prieuse;BEZANNES (N° : ER.17672);12547,6
2380E3682724K;D;1948;3;80000;Rue Maurice Thédié;Amiens;21414,7
2159E0619077Y;D;1975;;59167;;LALLAING;5791,9
2292E0008490D;E;1960;3;92200;Rue de Bagatelle;NEUILLY SUR SEINE;21198,3
2377E1242301W;C;2014;607;77190;Avenue Emile Zola;Dammarie-les-Lys;4505,5
2171E0542291C;E;1947;13;71200;Rue Marceau;LE CREUSOT;11290
2291E1016324Y;C;1961;;91290;;ARPAJON;8693,5
2393E3777312X;G;1900;112;93300;Avenue de la République;Aubervilliers;12666,2
2175E0671716D;D;1947;14;75016;Rue dâ€™Auteuil;PARIS 16, France;16728,8
2255E1349277L;D;;32;55100;Avenue des Eparges;VERDUN;6390,6
2376E1898060I;G;1945;78;76190;Rue de Barentin;ST MARTIN DE L IF (FREVILLE);22305,9
2160E0626515B;D;1948;94;60200;Rue de Paris;COMPIEGNE;7538,6
2203E2749653B;C;2016;27;03170;Route de Montluçon;Chamblet;12795
2351E3738394L;E;1948;1;51100;rue du Lieutenant Herduin;REIMS;4434,5
2145E0841298J;F;1948;535;45770;Rue du Faubourg Bannier;SARAN, France;17267,5
2213E2931191R;C;2016;93;13004;Rue albe;Marseille;5347,9
2363E2466694J;C;1945;11;63000;boulevard Lafayette;CLERMONT FERRAND;22258,4
2184E0685916Q;D;1947;1284;84240;Route de Peypin dâ€™Aigues;LA BASTIDE-DES-JOURDANS;8084,3
2250E2977578F;C;2014;439;50380;Rue Saint Michel;ST PAIR SUR MER;4135,5
2376E2001837T;D;1948;;76800;Rue du Morvan;ST ETIENNE DU ROUVRAY;5573,7
2133E0766354L;C;1948;6;33600;Place de lâ€™Armor;PESSAC;6454,5
2224E2165736N;E;1945;29;24660;Avenue Jean Jaurès;COULOUNIEIX CHAMIERS;3430
2324E1006758M;G;1975;137;24560;Rue des FARGUES;FAUX;32629,5
2167E0770130Z;D;1989;2;67200;Rue Jean-Geoffroy Conrath;STRASBOURG;3961,8
2230E0549409I;B;1991;6;30980;Rue des Hortensias;SAINT-DIONISY;5436,2
2393E3617835E;E;1945;193;93300;Avenue Jean Jaurès;Aubervilliers;9491,1
2111E0654646D;C;2006;2;11120;Impasse du Merlot;ARGELIERS;8133,5
2173E1021161G;E;1981;;73700;Résidence Plan Devin Arc 1600;BOURG SAINT MAURICE;5320,7
2362E1190157T;D;2000;;62114;Residence d’Anjou;SAINS-EN-GOHELLE;14647,3
2103E0724261I;C;1947;;;;MOULINS;10929,5
2285E2311246K;D;1963;94;85800;Route de l'aiguillon;SAINT GILLES CROIX DE VIE;14778,5
2375E1110777E;E;1945;17;75007;Avenue de Saxe;PARIS;34126,7
2175E0771734Z;F;1947;22;75015;Avenue de Lowendal;PARIS;32998,2
2234E2276589M;D;2005;2030;34500;Traverse de Colombiers;BEZIERS;2990,4
2367E0174450H;F;1945;24;67000;Rue de l'Ail;STRASBOURG;19147,1
2135E0663412F;C;1948;14;35000;Cours Président John Fitzgerald Kennedy;RENNES;11272,1
2213E0001454M;C;1994;50;13270;Allée de la Source;FOS SUR MER;12940,2
2363E1302914P;D;1945;9;63000;rue Saint-Herem;CLERMONT FERRAND;17751,2
2135E0550790P;E;1948;58;35700;Boulevard Raymond Poincaré;RENNES;31720,4
2283E2567347J;C;;388;83500;Avenue Jules Renard;LA SEYNE SUR MER;6148,2
2376E1872471D;D;1958;5;76600;Rue Augustin Normand;LE HAVRE;18483,2
2122E0631140M;F;1983;10;22710;Rue du Port Blanc;PORT BLANC;22898,7
2128E1021470K;F;1949;2;28300;Rue de la Mairie;CHAMPHOL;13165,3
2344E1567101X;E;1948;12b;44300;Rue de Koufra;NANTES;17384,2
2194E0636539X;D;1948;1562;94500;Rue de Bernau;CHAMPIGNY SUR MARNE;16657,3
2241E2188052M;D;2004;2;41100;Rue de Chemiron;MAZANGÉ;11819,2
2374E3148364W;E;1945;37;74440;Chemin du clos bordet;Taninges;25069,5
2185E0785577U;F;1948;35;85270;Rue Pasteur;ST HILAIRE DE RIEZ;16065,5
2234E0064905S;D;1974;2;34725;Chemin des Crassières;SAINT FELIX DE LODEZ;12773,4
2316E0938255L;D;1967;2;16800;Rue Georges Courteline;Soyaux;19791
2159E0696035W;D;1948;43;59280;Rue de Lille;ARMENTIERES;12598,5
2234E2713587C;B;2007;9bis;34770;Rue de la Draille;GIGEAN;7443,5
2395E0119738B;C;1965;;95400;Place Maillot, Avenue du 8 Mai 1945 et Rue Pompon;Villiers-le-Bel;10086,2
2176E0815753B;E;1947;60;76600;Rue de Verdun;LE HAVRE;13199,7
2249E0261444M;E;1947;16bis;49100;Rue Delaage;ANGERS;3235,3
2376E0451872S;D;1970;5;76130;Rue Thomas Becket;MONT SAINT AIGNAN;2335,2
2104E0811539F;D;1998;;04340;;LA BREOLE;13814,5
2251E1857768Q;E;1980;52;51100;rue Michel Simon;REIMS (N° : ER.12393);12793,4
2325E3027567Y;C;1948;6;25300;Rue des Déportés;Pontarlier;7731,8
2191E0757454J;D;1948;;91440;Avenue de l'Yvette;BURES SUR YVETTE;1857,3
2226E1238952B;C;;530;26300;Chemin des Trouillons;CHATUZANGE LE GOUBET, France;39048
2376E3906959R;C;2006;229;76800;Rue de Paris;ST ETIENNE DU ROUVRAY;31327,2
2176E0728617R;E;1948;48;76000;Rue Saint Etienne des Tonneliers;ROUEN;19227,1
2249E1268693V;D;2010;12;49310;Rue Michel Hardouin;LYS HAUT LAYON;13072,4
2393E1933582F;C;1948;1;93420;Avenue de l’Europe;Villepinte;7635,3
2158E0595571V;D;1948;2bis;58000;Rue du Professeur Calmette;NEVERS;17716,9
2244E0509633A;E;1947;5;44310;Le Maupas;LA LIMOUZINIÈRE;13066,9
2375E0101967U;C;1979;65;75015;Avenue Emile Zola;Paris;7735,3
2113E0553414R;D;1960;;13011;33 AVENUE ELLEON -BATB02 LA VALBARELLE;MARSEILLE;10009,8
2285E0791607T;B;2000;43;85770;Rue des Six Moulins;VIX;7066
2316E0391888I;D;1975;;16000;Rue du General Pol Dupuy;Angoulème;7932,4
2195E0568532H;G;1947;32;95220;Rue de Gaillon;HERBLAY;32644,7
2233E1319707H;C;;12;33620;Lieu Dit la Bernarde;MARSAS;8994,5
2342E2770124Y;G;1945;52;42100;Rue Ambroise Pare;SAINT-ETIENNE;224493
2100E0589552C;D;1947;;42100;;SAINT-ÉTIENNE;12090,3
2217E2294451V;C;1971;2bis;17000;Rue de Caen;LA ROCHELLE;7263,8
2393E0835606J;D;1948;1;93270;Avenue Berthelot;Sevran;342416,1
2144E0805754G;G;1947;4;44360;Route de la Clunais;SAINT-ÉTIENNE-DE-MONTLUC;21110
2226E0940755Y;C;2015;5;26290;Rue des Micocouliers;DONZERE (N° : 265085 - Porte : 23 - Etage : R00);5122,4
2387E0871079M;C;2001;;87520;Allee des Alouettes;ORADOUR-SUR-GLANE;9029,5
2156E0724696C;F;1958;15;56100;Rue de Metz;LORIENT;69852,7
2237E0775501L;E;1948;26;37130;Rue Moreau;BREHEMONT;15443,1
2378E0934876W;D;2006;3;78700;Allee Yvette et Maurice Genest;Conflans-Sainte-Honorine;11818,1
2113E0667277A;C;1948;12;13200;Place de Toscane;ARLES;8572,3
2266E0973690F;D;;75;66470;Avenue de Perpignan;STE MARIE;6876,2
2360E1458383B;E;1945;107;60000;Rue Marcel Dassault;BEAUVAIS;30683,4
2162E0824500Y;G;1947;;62520;;LE TOUQUET-PARIS-PLAGE;43804
2213E0765304I;C;1998;1425;13320;Avenue Thiers;BOUC-BEL-AIR;14262,6
2335E2942270R;D;1948;23;35600;Rue de Bellevue;REDON;14166,1
2178E0746074E;E;1948;102;78800;Rue Condorcet;HOUILLES;19812,4
2274E0014689W;C;2006;453;74130;Route de la Barque;CONTAMINE-SUR-ARVE;10164,7
2351E3076251K;F;1948;5;51100;rue de Couraux;REIMS;28743,4
2113E0769776H;C;1948;2;13002;Rue de la Loge;MARSEILLE 02;10531,7
2229E2746662A;C;;5;29800;streat Nevez;ST THONAN;10336,1
2375E0872908J;D;1945;13;75016;Rue Chanez;PARIS;3289,6
2114E0628125F;F;1948;18;14800;Rue Olliffe;DEAUVILLE;23815,1
2214E0025530N;E;1977;;14270;Chemin du Dépôt;MEZIDON CANON;10805,2
2375E0873075U;D;1945;11;75016;Rue Chanez;PARIS;6685,4
2128E0922340S;C;1972;21 et 23;28230;Route de Nogent-le-Roi;Epernon;9058,7
2201E2753674Q;E;1949;21;01250;Rue du Crétet;NIVIGNE ET SURAN;45319,9
2376E3127586U;F;1960;197;76480;Rue Corneille;YAINVILLE;21487,6
2180E0814241B;F;1968;;80550;;LE CROTOY;21265,6
2213E0503388Q;B;1948;3080;13090;Route de Berre;AIX EN PROVENCE;3140,9
2362E2275739X;C;1978;6;62620;Rue George Sand;BARLIN;10714,2
2172E0746466A;C;1947;7bis;72000;Rue Nationale;LE MANS;5542,8
2229E0424998G;B;1989;9;29820;Rue de Pont-Aven;BOHARS;4393,2
2376E2285626S;C;1991;24;76700;Rue Louis Aragon;GONFREVILLE L'ORCHER;10733,5
2117E0748146N;C;2013;3;17920;Allée du Pré-Neuf;BREUILLET;13554,2
2234E2657271C;C;2006;1;34600;Boulevard Jean Moulin;BEDARIEUX;2905,3
2395E2417284F;C;1975;63;95320;Rue Jacques Prévert;Saint-Leu-la-Forêt;6927,5
2167E0786319Q;E;1947;2;67000;Rue du Hohwald;STRASBOURG;14571,2
2276E2891096Z;D;1971;80;76620;Rue Bayard;LE HAVRE;10807,7
2335E0404902P;C;1959;23;35700;Rue Gustave Charpentier;RENNES;4172,4
2168E0815907R;D;1947;;;;COLMAR;9906
2267E2288541L;F;1945;16;67150;Rue du Village;ERSTEIN;24675,1
2391E2394077M;C;1948;6;91120;Allee Louise Bruneau;Palaiseau;7286,6
2142E0671001J;D;1989;369;42310;Rue Baulon;LE CROZET;17881,4
2230E2126337K;D;1948;;30200;290_6B LES PLATANES / LE SERPENT 10 ALLÉE DES CÈDR;Bagnols-sur-Cèze;9923,3
2376E0295839L;C;2001;3;76800;Rue Mado Robin;ST ETIENNE DU ROUVRAY;8919,5
2110E0674003P;E;1947;8;10340;Rue Jean Pierre Fauche;BRAGELOGNE BEAUVOIR, France;51432,8
2242E3182391I;B;1948;;42160;RUE LAMARTINE / RUE RACINE;Andrézieux-Bouthéon;4849,2
2377E2386930B;C;1950;51;77550;Rue d'Ourdy;Réau;4308,4
2130E0632910W;E;1947;4;30430;Rue du Porche;ST JEAN DE MARUEJOLS ET AVEJAN;9783,2
2212E0552696B;C;2022;23;12000;Avenue de la Gineste;RODEZ;2945
2351E2295591A;E;1978;1;51200;Allée du Fort Chabrol;EPERNAY;23787,6
2128E0968946G;C;1962;14;28700;Rue Jules Ferry;Auneau;5305,1
2250E0073875I;D;2008;8;50110;Residence du Clos Bricot;old La Glacerie;11458,4
2262E3212022T;D;1975;;62190;Résidence Salvatore Allende;LILLERS;9267,9
2142E0958791F;C;1950;;42320;Rue du Dorlay;La Grand-Croix;6739,9
2250E2176575K;D;1961;148;50130;DE LA POLLE;Cherbourg-en-Cotentin;19041,1
2367E0611116D;C;1974;;67600;Rue d'Ebersmunster;Sélestat;7960
2128E0959285R;C;1978;3;28210;Rue de Beauce;Nogent-le-Roi;9463,9
2150E1039748G;D;1966;;50300;Rue de Dunkerque;AVRANCHES;8109,8
2363E0207248P;E;1963;25;63400;rue du Sable d'Etampes;CHAMALIERES;17129
2167E0735297G;D;1974;26;67200;Rue des Carolingiens;STRASBOURG;33346,2
2128E1041823F;D;1961;;28110;Residence Saint Eloi;Lucé;6179
2330E0083006U;C;1958;4;30200;Place de la Crèche;Bagnols-sur-Cèze;5491,4
2113E0577467U;C;2013;64;13013;Chemin de la Marre;MARSEILLE;6057,9
2295E0545534U;C;1961;16a;95300;de l'Europe;Pontoise;6178,5
2316E0781442E;D;1948;5;16800;Rue Jean Giraudoux;Soyaux;10605,4
2125E0632805Q;E;1948;11;25000;Rue de la Corvée;BESANCON;15574,8
2174E1029008C;C;1957;21 à 31;74960;DE CHEVENNES CRAN GEVRIER;ANNECY;5351,4
2330E1936504E;C;1989;125;30340;Avenue de Granaudy;Saint-Julien-les-Rosiers;9048,1
2159E0700565C;F;1947;95;59000;Rue du Faubourg de Douai;LILLE;25332,4
2295E1448906W;C;1982;;95100;Rue Jean Charcot;Argenteuil;5274,9
2276E3203632P;C;1956;9;76600;Rue des Remparts;LE HAVRE;8692,5
2179E0759981C;E;1947;12;79450;Rue de la Poste;FENERY;19449,7
2244E2781641Y;F;1945;66;44000;Rue Maréchal Joffre;NANTES;17435,3
2363E2047812N;F;1945;;;;BEAUMONT;19513,1
2164E0655471X;C;2006;1;64100;Rue Vauban;BAYONNE;3603,3
2251E1906041H;G;1945;14;51100;rue Jeunehomme;REIMS;7435
2352E2422113H;D;1984;10;52130;Rue des Martyrs de la Résistance;Wassy;5371,5
2171E0558678J;E;1947;13;71200;Rue Marceau;LE CREUSOT;16494,2
2216E0617292R;E;1945;14;16380;Rue Denis Papin;CHAZELLES;24936
2376E0723151N;E;1987;4;76600;Rue Pierre Faure;LE HAVRE;5747,4
2144E0983248Y;E;1948;20;44130;Rue Alcoutim;BLAIN;17935,4
2214E3113972T;C;2015;49;14000;Avenue de la Côte de Nacre;CAEN;1492,1
2344E1712434Q;F;1945;12;44000;Rue Bergère;NANTES;2537,6
2144E0965836G;C;1995;17;44800;Rue François Rabelais;Saint-Herblain;8871,7
2234E1104955Q;A;2018;37bis;34110;Rue de la Gendarmerie;Frontignan;2435,9
2378E3213871N;D;1945;2;78480;Grande Rue;VERNEUIL-SUR-SEINE;3589,4
2187E0602190N;F;1948;14;87100;Rue Corot;LIMOGES;34457,2
2250E1602180H;E;1995;25;50630;Rue Kétil;Quettehou;10533,4
2362E2608999P;D;1948;12;62630;Rue Gustave Vassal;Étaples;5487,8
2156E0617184A;D;1948;;56600;;LANESTER;6411,6
2237E0620613F;C;2009;89;37100;Rue Groison;Tours;4219,7
2351E3455255M;C;1978;7e;51100;boulevard Louis Barthou;Reims;2225,2
2188E0571379N;D;2006;5a;88120;Route de Cheneau;LE SYNDICAT;12853,7
2244E2972910L;D;1989;50;44560;Rue du Faisan;PAIMBOEUF;4336,9
2374E1384567N;F;1989;2921;74920;Route du Vernay;Combloux;4936,1
2159E0579918V;F;1975;;59113;;SECLIN;16155,7
2218E0951413O;G;1961;4;18250;Place de l'Hospice;Henrichemont;26307,4
2328E1487828I;F;1945;24;28220;Rue du 11 Novembre (Cloyes-sur-le-Loir);CLOYES-SUR-LE-LOIR;6535,3
2129E0741183E;C;2008;15;29150;Impasse Parc Prigent;CAST;11958,7
2213E1479208E;A;1985;;13008;Avenue du Prado;Marseille;2422,4
2337E2977885O;E;1945;;37330;Beaupuits;COUESMES;6998,9
2159E0675931Q;E;1948;6;59610;Rue de Lille;FOURMIES, France;15500,3
2244E2344978F;B;2013;3;44350;rue Roger Camaret;Guérande;1949,5
2366E3761608W;A;2018;1;66380;Rue des Iris;Pia;2131,1
2137E0995464N;F;1948;21;37000;Rue des Halles;TOURS;21227,6
2244E2897898J;D;2001;6;44000;Rue Saget;NANTES;3727,8
2335E0183067M;E;1989;1;35370;Impasse de Bourgogne;ARGENTRE-DU-PLESSIS;7277,9
2144E0975730U;D;1945;20;44000;Rue Jean Jaurès;NANTES;13380,9
2235E3160340Y;C;1948;5;35600;Rue de la Butte;REDON;9515,4
2333E1696895O;A;2013;;33126;Rue des Coteaux;La riviere;1945,3
2113E0642046P;D;1948;2355;13090;Route dâ€™Eguilles;AIX EN PROVENCE;18584,4
2230E1891545Y;D;1948;1;30700;Place Saint-Geniès;Uzès;14422,8
2335E1271864H;E;1989;15;35440;Rue des Cours Roussel;FEINS;9202,4
2128E0988133F;D;1972;12;28110;Rue du Paradis;Lucé;14116,1
2277E2728524G;D;2007;9;77360;Rue de la Grande Ferme;VAIRES-SUR-MARNE;6008,1
2376E0794257J;E;1989;2;76600;Rue Pierre Faure;LE HAVRE;11947,2
2128E0988202W;D;1972;12;28110;Rue du Paradis;Lucé;9270,2
2277E2822351Z;D;1975;24;77240;Rue des Roches;VERT-SAINT-DENIS;10365,6
2358E1109513X;E;1945;7;58300;Avenue de Verdun;DECIZE;5228,8
2144E0816826C;C;1947;11;44110;Rue Michel Grimault;Châteaubriant, France;8980,6
2295E1010338W;D;1963;2;95200;Rue Claude Delvincourt;Sarcelles;13753,4
2375E0167211E;D;1978;;75012;Impasse Erard;PARIS;4518,6
2106E0538146E;G;1948;7;06000;Rue Alexis Mossa;NICE;20432,3
2294E1660274J;E;1961;;94260;Residence des Anemones;FRESNES;10110,8
2311E1189662T;B;2012;39;11100;Avenue de Bordeaux;Narbonne;3230,8
2172E0728078U;G;1947;6;72300;Rue du Chanoine Calendini;PRECIGNE;43387,1
2213E1903765H;D;1948;45;13009;Avenue de luminy;Marseille;15629,4
2376E0142255J;C;1979;2;76290;Rue Charles Péguy;MONTIVILLIERS;5075,7
2177E0631642X;D;2006;10;77144;Allée de Dublin;MONTÉVRAIN;10794,8
2278E2375495G;C;1948;;78380;Quai Boissy d'Anglas;BOUGIVAL;144455,9
2356E2921664Y;C;2008;21;56000;Rue Madame de Ségur;VANNES;4365,8
2160E0642396W;G;1948;19;60180;Clos Fleuri;NOGENT-SUR-OISE;28853,3
2244E2124016R;C;2013;5;44600;Rue Jeanne Chauvin;ST NAZAIRE;3450,2
2378E1222329T;D;1983;34;78114;Rue Jean Jaures;MAGNY-LES-HAMEAUX;10179,4
2113E0993911W;F;1948;;13500;Allee Andre Malraux;MARTIGUES;23198
2286E1903505C;E;1979;;86240;Chemin des Pierres Brunes;SMARVESQQ;20209,4
2334E3546244K;C;1912;;34070;Allée Léonor Fini;MONTPELLIER;2533,3
2112E0711149J;E;1947;19;12310;Place de la Poste;LAISSAC;5434,1
2292E0219213W;E;1976;41;92340;Rue de la Fontaine Grelot;BOURG LA REINE;20750,2
2376E1118604G;D;1976;1;76210;Rue Victor Deschamps;BOLBEC;13979,4
